name,nickName,traits,writing_style,emotional_patterns,default_needs,attachment_style,profile_text,one_sentence_summary
103,是䋩䋩呀,"{'mbtiType': 'ESTJ', 'zodiacType': 'Gemini'}",专业推荐,未提供足够信息,未提供足够信息,未提供足够信息,用户是西南艺术大学的毕业生，目前职业为剧本杀测评师，专注于搞笑游戏的专业推荐。,一个专注于搞笑游戏推荐的剧本杀测评师
104,爱旅行的lulu,"{'mbtiType': 'INFJ', 'zodiacType': 'Gemini'}",情感丰富，擅长故事创作,内省，具有同情心,寻求意义，追求自我实现,可能为安全型，注重亲密关系,用户INFJ型，双子座，2001年5月12日生，擅长情感本创作，现任广州剧本杀策划，毕业于西南经贸大学。,一个情感丰富的剧本创作者
105,橘soso,"{'mbtiType': 'ENFJ', 'zodiacType': 'Gemini'}",待补充,待补充,待补充,待补充,用户为ENFJ类型的双子座，2001年5月12日出生，目前从事剧本杀相关职业，毕业于东北科技大学。,一个热爱剧本杀的双子座ENFJ
276,刘老六,"{'gender': '男', 'mbti': 'INFP', 'zodiac': '双子座'}",无足够文字信息判断,无足够信息判断,无足够信息判断,无足够信息判断,用户为男性，MBTI类型为INFP，星座为双子座，生日为2002年5月13日，最后同步时间为2025年7月8日18:42:38。,一个双子座的内向直觉型男性
252,afufu,"{'genderType': 'Female', 'mbtiType': 'INFP', 'birthday': '1992-06-17'}",描述性,内省，理想主义,独立，意义，和谐，亲密,可能为安全性,我是一名1992年6月17日出生的女性，目前是西北经贸大学的学生，同时也是一名碎钻妆容艺术家。我拥有两只宠物，分别是3岁的卡布布猫和欧科狗。我活跃在抖音和红书平台。,一个追求和谐与亲密的碎钻妆容艺术家
246,小宋,"{'gender': '男', 'mbti': 'INTP', 'zodiac': '双子座', 'age': 23}",客观分析型,"{'倾向': '内倾', '表达': '思考型'}","{'认知需求': '高', '社交需求': '低'}",回避型,一位来自中国的23岁男性，上班族，目前活跃于上海和北京。个性内向，善于思考，对数字和技术有着浓厚的兴趣。,一个内向思考型的上班族
279,朋友你好,,,,,,,
278,工人老刘,"{'gender': '男', 'mbti': 'INFP', 'zodiac': '双子座'}",未提供足够文字内容分析,未提供足够信息分析,由于未提供详细内容，无法准确分析,由于未提供个人经历和关系信息，无法判断,一位男性，INFP型人格，双子座，出生于2002年5月13日，最后同步时间为2025年7月11日。,一个双子座的内向直觉型男性
281,发呆,"{'gender': '女性', 'mbti': 'INFP', 'zodiac': '双子座'}",无足够文字信息判断,无足够信息判断,无足够信息判断,无足够信息判断,用户为一位女性，MBTI类型为INFP，星座为双子座，出生于1997年5月13日，最后同步时间为2025年7月11日。,一个INFP的双子座女性
282,,"['未知', '需更多信息']",未观测到,"['未观测到', '需更多信息']","['未知', '可能包括社交、认同等']",未确定,用户资料信息不足，无法生成简介。,一个信息不足的用户
280,Niki,"{'genderType': '女性', 'mbtiType': 'ESFJ', 'zodiacType': '处女座', 'birthday': '1995-07-31'}",描述性,{'predicted': '情感丰富，注重细节，可能表现出一定的完美主义'},{'predicted': '需要和谐，认可，秩序，以及与他人的联系'},{'predicted': '可能是安全型或偏向于焦虑型依恋'},这位用户是一位注重细节、情感丰富的女性，她的生活中充满了对美好事物的追求和记录。身为处女座，她可能对事物有着完美主义的要求，而作为一个ESFJ类型的人，她善于交际，关心他人，并享受与人的互动。,一个追求完美的社交爱好者
284,磊哥,"{'gender': '女性', 'mbti': 'INFP', 'zodiac': '双子座'}",无足够文字信息判断,无足够信息判断,无足够信息判断,无足够信息判断,用户为一位女性，MBTI类型为INFP，星座为双子座，出生于1996年5月13日，最后同步时间为2025年7月11日。,一个INFP的双子座女性
285,卡布,"{'gender': '女性', 'mbti': 'ESTJ', 'zodiac': '双子座'}",未提供足够文字内容以分析,未提供足够信息以分析,未提供足够信息以推测,未提供足够信息以判断,用户为一位女性，性格类型为ESTJ，星座为双子座，出生于1999年5月13日，最后同步时间为2025年7月11日。,一个性格直率的女性双子
283,tk,"{'gender': '男', 'mbti': 'INFP', 'zodiac': '双子座'}",未提供足够文字内容分析,未提供足够信息分析,由于未提供详细内容，无法准确分析,由于未提供个人经历和关系信息，无法判断,一位男性，INFP型人格，双子座，出生于2002年5月13日，最后同步时间为2025年7月11日20:41:50。,一个双子座的内向直觉型男性
1,张三,"{'genderType': '男', 'mbtiType': 'ESTJ', 'birthday': '2002-05-13'}",简洁明了,未提供足够信息,掌控、秩序、责任感,可能为安全型,他是一位爱读书、聊天、授业的老板，同时也是一名设计师，毕业于西北1技术大学，现居住在中国深圳。,一个热爱阅读的设计师老板
6,老K聊增长,{'mbtiType': 'ENTP'},简洁明了,好奇心强，追求新奇,创新，自由，刺激,独立型,用户为鹅厂产品经理，性格类型为ENTP，追求创新与自由，生活中充满好奇心，喜欢探索新奇事物。,一个追求新奇的鹅厂产品经理
