name,nickName,traits,writing_style,emotional_patterns,default_needs,attachment_style,profile_text,one_sentence_summary
5,哈哈哈哈哈h,"{'gender': '男', 'mbti': 'ENTP', 'zodiac': '金牛座', 'age': 23}",自由而富有创意,倾向于乐观和探索,可能寻求刺激和变化,可能倾向于独立和自主,一位来自中国重庆的23岁男性，性格类型为ENTP，星座为金牛座，他的地区描述透露出一种随性不拘小节的态度。,一个探索者的ENTP
11,KK,"{'gender': '女性', 'mbti': 'INTJ', 'zodiac': '水瓶座'}",逻辑严谨，注重事实,理性主导，情感内敛,独立，智慧，创新，自由,独立型,一位出生于1995年1月21日的女性，水瓶座，MBTI类型为INTJ，个性独立，思维清晰，追求智慧与创新。,一个水瓶座的理性女性
13,2x日的三次方,"{'gender': '女性', 'mbti': 'ENFP', 'zodiac': '双子座', 'age': 32}",简洁直接,多变且富有表达力,社交、创新、自由,安全型,一位充满活力、性格开朗的女性，喜欢新鲜事物，追求自由与个性表达。,一个热爱自由的创意女性
14,杨树湾车神,"{'gender': '男', 'mbti': 'ISFJ', 'zodiac': '巨蟹座', 'age': 31}",未提供足够信息,{'predicted': '由于是巨蟹座，可能情绪波动较大，注重情感联系'},归属感，安全感，关怀他人,可能为安全型，注重亲密关系和稳定性,一位31岁的男性，MBTI类型为ISFJ，巨蟹座，可能是一位注重情感联系和亲密关系的人。,一个注重情感的巨蟹座男性
17,Luca,"{'gender': '男', 'mbti': 'ISTJ', 'zodiac': '巨蟹座', 'age': 25}",事实主导，逻辑性强,内敛，稳重，有责任心,稳定，秩序，忠诚,回避型,一位25岁的巨蟹座男性，ISTJ型人格，注重事实和逻辑，内敛稳重，对稳定和秩序有着较高的需求。,一个注重稳定的ISTJ型巨蟹男
8,Nikkie,"{'gender': '女性', 'mbti': 'ESFP', 'zodiac': '处女座', 'age': 30}",未提供足够信息,未提供足够信息,社交、新鲜感、活跃,可能倾向于安全型依恋,一位30岁的女性，性格外向，喜好社交，生活中追求新鲜感与活力。她的星座是处女座，注重细节，同时也可能表现出一定的完美主义倾向。,一个热爱生活的处女座女性
16,张小凡,"{'gender': '男', 'mbti': 'INFP', 'zodiac': '天蝎座'}",无足够信息判断,无足够信息判断,无足够信息判断,无足够信息判断,一位来自北京的2002年11月11日出生的男性，目前在上海工作，自称朝阳大叔。,一个天蝎座的INFP男
19,李逵小姐,"{'gender': '女性', 'mbti': 'INTP', 'zodiac': '天蝎座'}",逻辑严谨，注重事实,内敛，理性,理解，知识，自主性,独立型,一位天蝎座女性，INTP型人格，追求知识，善于独立思考，情感内敛。,一个理性的思考者
15,LL💖,"{'gender': '女性', 'mbti': 'ENTJ', 'zodiac': '狮子座'}",直接、逻辑性强,自信、果断,控制、成就,安全型,一位狮子座女性，性格直接且具有领导力，追求成就和控制，拥有安全型的依恋风格。,一个自信果断的女性领导者
20,最最最,"{'gender': '男', 'mbti': 'ENTJ', 'zodiac': '双子座'}",逻辑严谨，条理清晰,理性主导，情感稳定,成就，影响力，自主性,独立型,一位出生于1995年6月2日的男性，性格类型为ENTJ，星座为双子座，具有较强的领导力和逻辑思维能力。,一个理性独立的领导者
2,K2,"{'gender': '男', 'mbti': 'ENTJ', 'zodiac': '金牛座', 'age': 30}",直观、逻辑性强,自信、决断力强、稳定,控制、成就、独立性,安全型,这位用户是一名30岁的男性，性格类型为ENTJ，星座是金牛座。他的生活似乎与建筑、自然和城市文化紧密相关，同时展现出对知识和技术的高度兴趣。,一个热爱知识且自信的金牛座男性
10,朋友送我一只珍珠鸟,"{'genderType': '男', 'mbtiType': 'ENFP', 'zodiacType': '白羊座', 'birthday': '1992-04-06'}",自由流畅，具有创造性,"{'expression': '热情', 'stability': '多变'}","['独立', '创新', '社交', '自由']",安全型,一位充满热情与活力的男性，喜欢与人交往，追求自由与创新，业余时间喜欢探索城市建筑和自然风光。,一个热爱自由的创造者
3,刘老六,"{'gender': '男', 'mbti': 'INFP', 'zodiac': '金牛座', 'age': 23}",抽象、富有想象力,内敛、理想主义、富有同情心,自我实现、意义、人际关系,寻求亲密、倾向于安全型依恋,一位出生于2002年5月13日的男性，性格内向、直觉型、情感丰富，喜好艺术和自然之美，追求深刻的个人意义和人际关系。,一个理想主义的金牛座INFP
6,蜘蛛侠,"{'gender': '女性', 'mbti': 'ISFJ', 'zodiac': '金牛座', 'age': 23}",细腻、务实,稳定、敏感,安全感、归属感,回避型,这位用户是一位年轻的女性，性格内向、实感，注重细节，按照MBTI分类属于ISFJ型，星座是金牛座，表现出稳定和敏感的情绪模式。,一个内向实感的年轻女性
18,起什么名字比较好呢,"{'gender': '男', 'mbti': 'ISFP', 'zodiac': '狮子座'}",未提供足够信息,由于未提供具体情感描述，无法准确分析,可能包括创造性表达、美的追求、独立性,可能倾向于安全性寻求，注重亲密关系,一位狮子座男性，MBTI类型为ISFP，出生于1995年8月18日，最后更新时间为2025年7月25日。,一个追求美的独立者
12,YUE,"{'gender': '女性', 'mbti': 'ENFP', 'zodiac': '巨蟹座', 'age': 29}",无明显风格倾向，需更多信息分析,"{'potential': '情感丰富，波动性可能较大', 'inference': '根据星座和MBTI类型推测'}","{'connection': '寻求深层次的联系与交流', 'independence': '同时需要个人空间和时间', 'novelty': '追求新鲜事物和体验'}","{'predicted': '可能为安全型依恋', 'basis': '基于MBTI类型和图像内容推测'}",一位巨蟹座女性，性格外向且富有想象力，喜欢探索生活中的各种可能性。,一个探索者的ENFP
4,木质调歹言人,"{'gender': '女性', 'mbti': 'INTP', 'zodiac': '狮子座', 'age': 29}",理性分析，注重逻辑,"{'倾向稳定': '中等', '倾向乐观': '中等'}","['认知需求', '自主性', '创造性']",独立型,一位狮子座女性，INTP型人格，追求知识，独立思考，喜欢分析事物，具有独特的审美观。,一个独立思考的狮子座女性
7,坠机云雀,"{'gender': '女性', 'mbti': 'INFJ', 'zodiac': '双子座'}",未提供足够信息,未提供足够信息,寻求深层次的人际关系和意义,可能为安全型或寻求型,一位2002年5月13日出生的女性，星座为双子座，MBTI类型为INFJ，在2025年7月24日最后同步时间前有活动。,一个寻求深度的INFJ女性
9,sphr,"{'gender': '男', 'mbti': 'INFP', 'zodiac': '摩羯座'}",内省，具有艺术性,"{'倾向': '理想主义', '稳定性': '情绪波动可能较大'}","['自我实现', '意义与目的', '创意表达']",可能倾向于安全性依恋,一位出生于1994年12月28日的男性，个性内敛而富有想象力，喜好自然与建筑相关的图像，透露出对生活细节的感悟。,一个理想主义的探索者
1,卡卡,"{'gender': '女性', 'mbti': 'INTP', 'zodiac': '处女座'}",逻辑严谨，注重细节,内敛，思考多于表达,理解，知识，独立,回避型,一位追求知识，善于分析的处女座女性，性格内敛，拥有INTP型人格。,一个善于思考的处女座女性
